city,datetime,temperature,feels_like,humidity,weather,wind_speed,rain_3h
St Malo,2026-06-25 06:00:00,23.23,23.2,61,overcast clouds,3.98,0.0
St Malo,2026-06-25 09:00:00,30.51,30.17,39,overcast clouds,6.44,0.0
St Malo,2026-06-25 12:00:00,34.29,33.5,29,broken clouds,8.12,0.0
St Malo,2026-06-25 15:00:00,33.4,32.66,31,scattered clouds,7.23,0.0
St Malo,2026-06-25 18:00:00,27.43,27.7,48,scattered clouds,7.62,0.0
St Malo,2026-06-25 21:00:00,21.05,21.14,74,scattered clouds,1.43,0.0
St Malo,2026-06-26 00:00:00,17.68,17.85,90,scattered clouds,3.49,0.0
St Malo,2026-06-26 03:00:00,16.89,17.01,91,broken clouds,1.88,0.0
St Malo,2026-06-26 06:00:00,18.09,18.17,85,scattered clouds,2.99,0.0
St Malo,2026-06-26 09:00:00,22.47,22.34,60,clear sky,3.56,0.0
St Malo,2026-06-26 12:00:00,24.8,24.77,55,clear sky,2.71,0.0
St Malo,2026-06-26 15:00:00,22.32,22.28,64,clear sky,6.87,0.0
St Malo,2026-06-26 18:00:00,21.15,21.1,68,clear sky,4.48,0.0
St Malo,2026-06-26 21:00:00,18.11,18.09,81,clear sky,2.62,0.0
St Malo,2026-06-27 00:00:00,17.42,17.38,83,clear sky,1.53,0.0
St Malo,2026-06-27 03:00:00,16.97,16.84,81,clear sky,3.6,0.0
St Malo,2026-06-27 06:00:00,17.84,17.85,83,clear sky,4.4,0.0
St Malo,2026-06-27 09:00:00,20.89,20.84,69,scattered clouds,4.07,0.0
St Malo,2026-06-27 12:00:00,22.53,22.48,63,few clouds,4.43,0.0
Bayeux,2026-06-22 15:00:00,29.46,30.14,49,few clouds,7.88,0.0
Bayeux,2026-06-22 18:00:00,27.63,28.64,57,few clouds,7.15,0.0
Bayeux,2026-06-22 21:00:00,22.33,22.63,77,light rain,3.43,0.5
Bayeux,2026-06-23 00:00:00,20.76,20.95,79,scattered clouds,4.45,0.0
Bayeux,2026-06-23 03:00:00,20.0,19.86,69,clear sky,3.03,0.0
Bayeux,2026-06-23 06:00:00,23.22,23.32,66,clear sky,2.46,0.0
Bayeux,2026-06-23 09:00:00,31.08,30.47,36,clear sky,1.79,0.0
Bayeux,2026-06-23 12:00:00,34.75,33.76,27,scattered clouds,2.62,0.0
Bayeux,2026-06-23 15:00:00,32.64,32.14,34,clear sky,5.85,0.0
Bayeux,2026-06-23 18:00:00,27.62,28.36,54,clear sky,3.59,0.0
Bayeux,2026-06-23 21:00:00,25.85,25.72,47,clear sky,4.94,0.0
Bayeux,2026-06-24 00:00:00,24.7,24.48,48,few clouds,3.63,0.0
Bayeux,2026-06-24 03:00:00,20.97,20.95,70,clear sky,2.02,0.0
Bayeux,2026-06-24 06:00:00,25.33,25.25,51,clear sky,2.32,0.0
Bayeux,2026-06-24 09:00:00,34.21,33.39,29,scattered clouds,2.38,0.0
Bayeux,2026-06-24 12:00:00,33.74,33.29,32,scattered clouds,6.19,0.0
Bayeux,2026-06-24 15:00:00,31.56,31.06,36,few clouds,5.47,0.0
Bayeux,2026-06-24 18:00:00,27.03,27.32,48,scattered clouds,5.18,0.0
Bayeux,2026-06-24 21:00:00,22.15,22.17,67,light rain,2.27,0.11
Bayeux,2026-06-25 00:00:00,20.68,20.66,71,overcast clouds,2.04,0.0
Bayeux,2026-06-25 03:00:00,22.25,22.2,64,overcast clouds,3.73,0.0
Bayeux,2026-06-25 06:00:00,26.22,26.22,54,broken clouds,5.0,0.0
